WARNING: radv is not a conformant Vulkan implementation, testing use only.
0.00.034.153 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.034.314 W srv  llama_server: -----------------
0.00.034.316 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.034.316 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.034.316 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.034.316 W srv  llama_server: -----------------
0.00.035.479 I srv    load_model: loading model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.12.520.783 I cmn          init: llama threadpool init, n_threads = 8
0.12.521.046 W cmn  common_init_: KV cache shifting is not supported for this context, disabling KV cache shifting
0.12.605.982 I common_speculative_init_result: creating MTP draft context against the target model '/home/ransika/applications/llama-cpp/models/qwen/ista-daslab/Qwen3.8-27B-GSQ-RCO-IQ3_XXS-mtp.gguf'
0.12.703.159 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 106496, kv_unified = 'true'
0.12.732.576 I srv  llama_server: model loaded
0.12.732.583 I srv  llama_server: listening on http://0.0.0.0:8080
0.12.732.584 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.12.732.584 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.13.067.237 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
3.44.157.962 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  53686, progress = 0.97, t = 162.32 s / 330.74 tokens per second
3.48.742.413 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  54710, progress = 0.99, t = 166.88 s / 327.85 tokens per second
3.48.742.580 I slot print_timing: id  1 | task 66 | prompt processing, n_tokens =  17085, progress = 1.00, t = 167.05 s / 102.28 tokens per second
3.48.744.037 W slot create_check: id  1 | task 66 | erasing old context checkpoint (pos_min = 16605, pos_max = 16605, n_tokens = 16606, size = 172.304 MiB)
3.50.636.705 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  55012, progress = 0.99, t = 170.97 s / 321.77 tokens per second
3.50.636.891 W slot create_check: id  0 | task 84 | erasing old context checkpoint (pos_min = 40220, pos_max = 40220, n_tokens = 40221, size = 204.554 MiB)
3.53.311.791 I slot print_timing: id  0 | task 84 | prompt processing, n_tokens =  55524, progress = 1.00, t = 173.59 s / 319.86 tokens per second
3.53.316.199 W slot create_check: id  0 | task 84 | erasing old context checkpoint (pos_min = 46517, pos_max = 46517, n_tokens = 46518, size = 213.154 MiB)
4.01.125.434 I slot print_timing: id  1 | task 66 | n_gen =    101, tg =   9.46 t/s, tg_3s =   9.55 t/s
4.02.961.431 I slot print_timing: id  0 | task 84 | n_gen =    101, tg =  10.71 t/s, tg_3s =  10.82 t/s
4.04.183.204 I slot print_timing: id  1 | task 66 | n_gen =    136, tg =   9.90 t/s, tg_3s =  11.45 t/s
4.06.032.623 I slot print_timing: id  0 | task 84 | n_gen =    142, tg =  11.36 t/s, tg_3s =  13.35 t/s
4.07.253.709 I slot print_timing: id  1 | task 66 | n_gen =    181, tg =  10.78 t/s, tg_3s =  14.66 t/s
4.09.087.381 I slot print_timing: id  0 | task 84 | n_gen =    185, tg =  11.90 t/s, tg_3s =  14.08 t/s
4.10.341.805 I slot print_timing: id  1 | task 66 | n_gen =    226, tg =  11.37 t/s, tg_3s =  14.57 t/s
4.11.585.739 I slot print_timing: id  1 | task 66 | prompt eval time =  204202.84 ms / 17089 tokens (   11.95 ms per token,    83.69 tokens per second)
4.11.585.746 I slot print_timing: id  1 | task 66 |        eval time =   21033.40 ms /   242 tokens (   87.28 ms per token,    11.46 tokens per second)
4.11.585.748 I slot print_timing: id  1 | task 66 |       total time =  225236.23 ms / 17331 tokens
4.11.585.749 I slot print_timing: id  1 | task 66 |    graphs reused =        140
4.11.585.755 I slot print_timing: id  1 | task 66 | draft acceptance = 0.85000 (  153 accepted /   180 generated), mean len =  2.70
4.11.586.866 I slot      release: id  1 | task 66 | stop processing: n_tokens = 17332, truncated = 0
4.11.951.987 I slot print_timing: id  0 | task 84 | prompt eval time =  174057.07 ms / 55528 tokens (    3.13 ms per token,   319.02 tokens per second)
4.11.951.993 I slot print_timing: id  0 | task 84 |        eval time =   18327.97 ms /   229 tokens (   80.39 ms per token,    12.44 tokens per second)
4.11.951.994 I slot print_timing: id  0 | task 84 |       total time =  192385.04 ms / 55757 tokens
4.11.951.995 I slot print_timing: id  0 | task 84 |    graphs reused =        142
4.11.951.998 I slot print_timing: id  0 | task 84 | draft acceptance = 0.75824 (  138 accepted /   182 generated), mean len =  2.52
4.11.956.852 I slot      release: id  0 | task 84 | stop processing: n_tokens = 55757, truncated = 0
4.19.330.648 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.211 (> 0.100 thold), f_keep = 0.001
4.20.281.354 I slot launch_slot_: id  0 | task 234 | processing task, is_child = 0
4.20.774.614 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 162236679931
4.20.774.693 I slot launch_slot_: id  2 | task 235 | processing task, is_child = 0
4.23.983.952 I slot print_timing: id  2 | task 235 | prompt processing, n_tokens =   1319, progress = 0.72, t =   3.18 s / 415.07 tokens per second
4.25.045.134 I slot print_timing: id  2 | task 235 | prompt processing, n_tokens =   1831, progress = 1.00, t =   4.21 s / 434.62 tokens per second
4.25.045.465 W slot create_check: id  2 | task 235 | erasing old context checkpoint (pos_min = 193, pos_max = 193, n_tokens = 194, size = 149.891 MiB)
4.29.186.723 I slot print_timing: id  0 | task 234 | n_gen =    100, tg =  18.98 t/s, tg_3s =  19.16 t/s
4.30.186.457 I slot print_timing: id  2 | task 235 | prompt eval time =    4461.01 ms /  1835 tokens (    2.43 ms per token,   411.34 tokens per second)
4.30.186.463 I slot print_timing: id  2 | task 235 |        eval time =    4938.79 ms /   100 tokens (   49.89 ms per token,    20.05 tokens per second)
4.30.186.464 I slot print_timing: id  2 | task 235 |       total time =    9399.80 ms /  1935 tokens
4.30.186.464 I slot print_timing: id  2 | task 235 |    graphs reused =        179
4.30.186.467 I slot print_timing: id  2 | task 235 | draft acceptance = 0.74684 (   59 accepted /    79 generated), mean len =  2.48
4.30.186.569 I slot      release: id  2 | task 235 | stop processing: n_tokens = 1934, truncated = 0
4.30.783.170 I slot print_timing: id  0 | task 234 | prompt eval time =    3193.74 ms /   194 tokens (   16.46 ms per token,    60.74 tokens per second)
4.30.783.179 I slot print_timing: id  0 | task 234 |        eval time =    6813.62 ms /   150 tokens (   45.73 ms per token,    21.87 tokens per second)
4.30.783.182 I slot print_timing: id  0 | task 234 |       total time =   10007.35 ms /   344 tokens
4.30.783.184 I slot print_timing: id  0 | task 234 |    graphs reused =        186
4.30.783.195 I slot print_timing: id  0 | task 234 | draft acceptance = 0.97030 (   98 accepted /   101 generated), mean len =  2.92
4.30.783.264 I slot      release: id  0 | task 234 | stop processing: n_tokens = 343, truncated = 0
4.35.611.261 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 162237797900
4.35.611.339 I slot launch_slot_: id  3 | task 290 | processing task, is_child = 0
4.35.858.735 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 472.325 MiB)
4.41.577.135 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   3164, progress = 0.19, t =   4.56 s / 693.36 tokens per second
4.43.391.827 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   4188, progress = 0.25, t =   6.35 s / 659.31 tokens per second
4.45.258.534 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   5212, progress = 0.31, t =   8.19 s / 636.24 tokens per second
4.47.175.953 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   6236, progress = 0.37, t =  10.08 s / 618.42 tokens per second
4.49.147.613 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   7260, progress = 0.43, t =  12.03 s / 603.58 tokens per second
4.51.179.789 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   8284, progress = 0.49, t =  14.03 s / 590.45 tokens per second
4.53.267.703 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =   9308, progress = 0.55, t =  16.09 s / 578.48 tokens per second
4.55.406.287 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  10332, progress = 0.61, t =  18.20 s / 567.61 tokens per second
4.57.598.615 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  11356, progress = 0.67, t =  20.37 s / 557.59 tokens per second
4.59.841.591 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  12380, progress = 0.73, t =  22.59 s / 548.12 tokens per second
5.02.134.893 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  13404, progress = 0.79, t =  24.85 s / 539.34 tokens per second
5.04.474.710 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  14428, progress = 0.85, t =  27.17 s / 531.00 tokens per second
5.06.879.897 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  15452, progress = 0.91, t =  29.54 s / 523.08 tokens per second
5.09.340.019 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  16476, progress = 0.97, t =  31.98 s / 515.27 tokens per second
5.09.582.182 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  16539, progress = 0.97, t =  33.27 s / 497.16 tokens per second
5.10.906.555 I slot print_timing: id  3 | task 290 | prompt processing, n_tokens =  17051, progress = 1.00, t =  33.89 s / 503.15 tokens per second
5.10.907.988 W slot create_check: id  3 | task 290 | erasing old context checkpoint (pos_min = 91, pos_max = 91, n_tokens = 92, size = 149.752 MiB)
5.14.566.857 I slot print_timing: id  3 | task 290 | n_gen =    101, tg =  28.66 t/s, tg_3s =  28.95 t/s
5.17.612.092 I slot print_timing: id  3 | task 290 | n_gen =    197, tg =  30.00 t/s, tg_3s =  31.52 t/s
5.20.639.427 I slot print_timing: id  3 | task 290 | n_gen =    281, tg =  29.29 t/s, tg_3s =  27.75 t/s
5.23.656.326 I slot print_timing: id  3 | task 290 | n_gen =    384, tg =  30.45 t/s, tg_3s =  34.14 t/s
5.26.661.108 I slot print_timing: id  3 | task 290 | n_gen =    474, tg =  30.35 t/s, tg_3s =  29.95 t/s
5.29.729.030 I slot print_timing: id  3 | task 290 | n_gen =    564, tg =  30.19 t/s, tg_3s =  29.34 t/s
5.32.735.668 I slot print_timing: id  3 | task 290 | n_gen =    658, tg =  30.34 t/s, tg_3s =  31.26 t/s
5.35.751.307 I slot print_timing: id  3 | task 290 | n_gen =    746, tg =  30.19 t/s, tg_3s =  29.18 t/s
5.38.777.500 I slot print_timing: id  3 | task 290 | n_gen =    840, tg =  30.29 t/s, tg_3s =  31.06 t/s
5.41.835.976 I slot print_timing: id  3 | task 290 | n_gen =    931, tg =  30.24 t/s, tg_3s =  29.75 t/s
5.44.890.045 I slot print_timing: id  3 | task 290 | n_gen =   1034, tg =  30.55 t/s, tg_3s =  33.73 t/s
5.47.941.443 I slot print_timing: id  3 | task 290 | n_gen =   1125, tg =  30.49 t/s, tg_3s =  29.82 t/s
5.50.960.188 I slot print_timing: id  3 | task 290 | n_gen =   1219, tg =  30.54 t/s, tg_3s =  31.14 t/s
5.54.016.504 I slot print_timing: id  3 | task 290 | n_gen =   1312, tg =  30.53 t/s, tg_3s =  30.43 t/s
5.57.024.493 I slot print_timing: id  3 | task 290 | n_gen =   1414, tg =  30.75 t/s, tg_3s =  33.91 t/s
6.00.073.159 I slot print_timing: id  3 | task 290 | n_gen =   1520, tg =  31.00 t/s, tg_3s =  34.77 t/s
6.03.141.287 I slot print_timing: id  3 | task 290 | n_gen =   1626, tg =  31.21 t/s, tg_3s =  34.55 t/s
6.06.142.952 I slot print_timing: id  3 | task 290 | n_gen =   1723, tg =  31.27 t/s, tg_3s =  32.32 t/s
6.08.452.270 I slot print_timing: id  3 | task 290 | prompt eval time =   34964.18 ms / 17055 tokens (    2.05 ms per token,   487.78 tokens per second)
6.08.452.307 I slot print_timing: id  3 | task 290 |        eval time =   57373.81 ms /  1804 tokens (   31.82 ms per token,    31.43 tokens per second)
6.08.452.309 I slot print_timing: id  3 | task 290 |       total time =   92337.99 ms / 18859 tokens
6.08.452.311 I slot print_timing: id  3 | task 290 |    graphs reused =        945
6.08.452.321 I slot print_timing: id  3 | task 290 | draft acceptance = 0.67601 ( 1037 accepted /  1534 generated), mean len =  2.35
6.08.454.018 I slot      release: id  3 | task 290 | stop processing: n_tokens = 18859, truncated = 0
6.16.589.979 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.234 (> 0.100 thold), f_keep = 0.002
6.16.591.162 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 1875.159 MiB)
6.17.111.524 I slot launch_slot_: id  3 | task 1078 | processing task, is_child = 0
6.17.111.978 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 162467065591
6.17.112.005 I slot launch_slot_: id  1 | task 1079 | processing task, is_child = 0
6.21.844.491 I slot print_timing: id  1 | task 1079 | prompt processing, n_tokens =   2196, progress = 1.00, t =   4.69 s / 468.55 tokens per second
6.21.844.813 W slot create_check: id  1 | task 1079 | erasing old context checkpoint (pos_min = 168, pos_max = 168, n_tokens = 169, size = 149.857 MiB)
6.27.198.661 I slot print_timing: id  1 | task 1079 | prompt eval time =    4932.17 ms /  2200 tokens (    2.24 ms per token,   446.05 tokens per second)
6.27.198.664 I slot print_timing: id  1 | task 1079 |        eval time =    5154.02 ms /   100 tokens (   52.06 ms per token,    19.21 tokens per second)
6.27.198.665 I slot print_timing: id  1 | task 1079 |       total time =   10086.19 ms /  2300 tokens
6.27.198.666 I slot print_timing: id  1 | task 1079 |    graphs reused =        984
6.27.198.669 I slot print_timing: id  1 | task 1079 | draft acceptance = 0.68675 (   57 accepted /    83 generated), mean len =  2.36
6.27.198.783 I slot      release: id  1 | task 1079 | stop processing: n_tokens = 2299, truncated = 0
6.27.263.455 I slot print_timing: id  3 | task 1078 | n_gen =    100, tg =  18.24 t/s, tg_3s =  18.43 t/s
